,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,QHM,NHS North East And North Cumbria Integrated Care Board,"76,492.00","2,721.00","64,102.00","143,315.00","43,066.00","2,620.00","62,811.00","108,497.00","33,426.00",101.00,"1,291.00","34,818.00",0.76,0.56,0.96,0.98,"25,024.00",39.00,656.00,"25,719.00","11,160.00","36,879.00","6,534.00",550.00
,QJK,NHS Devon Integrated Care Board,"29,252.00",151.00,"13,855.00","43,258.00","15,827.00",151.00,"13,623.00","29,601.00","13,425.00",0.00,232.00,"13,657.00",0.68,0.54,1.00,0.98,"9,275.00",0.00,0.00,"9,275.00","4,930.00","14,205.00","3,160.00",793.00
,QVV,NHS Dorset Integrated Care Board,"17,459.00",0.00,"8,403.00","25,862.00","10,471.00",0.00,"8,396.00","18,867.00","6,988.00",0.00,7.00,"6,995.00",0.73,0.60,-,1.00,"6,056.00",4.00,0.00,"6,060.00","3,059.00","9,119.00","1,112.00",164.00
,QMF,NHS North East London Integrated Care Board,"50,424.00","3,331.00","36,834.00","90,589.00","29,726.00","2,934.00","35,371.00","68,031.00","20,698.00",397.00,"1,463.00","22,558.00",0.75,0.59,0.88,0.96,"14,307.00",2.00,59.00,"14,368.00","1,819.00","16,187.00","3,936.00","1,809.00"
,QNQ,NHS Frimley Integrated Care Board,"22,368.00",885.00,"10,583.00","33,836.00","12,187.00",881.00,"10,419.00","23,487.00","10,181.00",4.00,164.00,"10,349.00",0.69,0.54,1.00,0.98,"6,253.00",0.00,0.00,"6,253.00",94.00,"6,347.00","2,185.00",360.00
,QR1,NHS Gloucestershire Integrated Care Board,"13,297.00",0.00,"7,634.00","20,931.00","8,241.00",0.00,"7,572.00","15,813.00","5,056.00",0.00,62.00,"5,118.00",0.76,0.62,-,0.99,"2,716.00",0.00,0.00,"2,716.00","2,240.00","4,956.00",814.00,403.00
,QOP,NHS Greater Manchester Integrated Care Board,"88,347.00","3,273.00","35,286.00","126,906.00","45,447.00","3,177.00","33,409.00","82,033.00","42,900.00",96.00,"1,877.00","44,873.00",0.65,0.51,0.97,0.95,"22,584.00",131.00,736.00,"23,451.00","5,796.00","29,247.00","11,738.00","3,426.00"
,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"39,766.00","2,275.00","22,896.00","64,937.00","21,407.00","2,199.00","22,338.00","45,944.00","18,359.00",76.00,558.00,"18,993.00",0.71,0.54,0.97,0.98,"12,599.00",19.00,35.00,"12,653.00","5,831.00","18,484.00","2,686.00",236.00
,QE1,NHS Lancashire And South Cumbria Integrated Care Board,"44,005.00",0.00,"29,822.00","73,827.00","27,274.00",0.00,"28,882.00","56,156.00","16,731.00",0.00,940.00,"17,671.00",0.76,0.62,-,0.97,"13,122.00",0.00,202.00,"13,324.00","5,826.00","19,150.00","5,037.00","2,551.00"
,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"19,641.00","1,077.00","5,328.00","26,046.00","8,596.00","1,077.00","5,256.00","14,929.00","11,045.00",0.00,72.00,"11,117.00",0.57,0.44,1.00,0.99,"4,344.00",0.00,0.00,"4,344.00",925.00,"5,269.00","1,607.00",518.00
,QM7,NHS Hertfordshire And West Essex Integrated Care Board,"25,758.00",0.00,"21,482.00","47,240.00","12,103.00",0.00,"20,811.00","32,914.00","13,655.00",0.00,671.00,"14,326.00",0.70,0.47,-,0.97,"9,260.00",0.00,101.00,"9,361.00","1,026.00","10,387.00","1,806.00",224.00
,QOQ,NHS Humber And North Yorkshire Integrated Care Board,"34,875.00",361.00,"29,555.00","64,791.00","16,618.00",361.00,"28,499.00","45,478.00","18,257.00",0.00,"1,056.00","19,313.00",0.70,0.48,1.00,0.96,"15,135.00",0.00,0.00,"15,135.00","4,676.00","19,811.00","4,998.00","2,159.00"
,QJ2,NHS Derby And Derbyshire Integrated Care Board,"29,252.00",0.00,"25,848.00","55,100.00","15,382.00",0.00,"25,444.00","40,826.00","13,870.00",0.00,404.00,"14,274.00",0.74,0.53,-,0.98,"6,855.00",0.00,268.00,"7,123.00","2,518.00","9,641.00","3,548.00","1,420.00"
,QKS,NHS Kent And Medway Integrated Care Board,"53,658.00",0.00,"41,860.00","95,518.00","36,322.00",0.00,"40,577.00","76,899.00","17,336.00",0.00,"1,283.00","18,619.00",0.81,0.68,-,0.97,"13,385.00",0.00,595.00,"13,980.00","2,473.00","16,453.00","4,795.00","2,248.00"
,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","23,225.00","1,952.00","13,987.00","39,164.00","12,756.00","1,833.00","13,948.00","28,537.00","10,469.00",119.00,39.00,"10,627.00",0.73,0.55,0.94,1.00,"6,523.00",7.00,0.00,"6,530.00","3,534.00","10,064.00","2,664.00","1,108.00"
,QJM,NHS Lincolnshire Integrated Care Board,"10,824.00",0.00,"18,268.00","29,092.00","4,487.00",0.00,"16,707.00","21,194.00","6,337.00",0.00,"1,561.00","7,898.00",0.73,0.41,-,0.91,"4,644.00",0.00,0.00,"4,644.00","1,161.00","5,805.00","2,088.00",874.00
,QH8,NHS Mid And South Essex Integrated Care Board,"30,830.00",0.00,"5,418.00","36,248.00","20,346.00",0.00,"5,057.00","25,403.00","10,484.00",0.00,361.00,"10,845.00",0.70,0.66,-,0.93,"8,908.00",0.00,202.00,"9,110.00","1,270.00","10,380.00","2,826.00",66.00
,QMM,NHS Norfolk And Waveney Integrated Care Board,"26,335.00",0.00,"10,773.00","37,108.00","16,257.00",0.00,"10,772.00","27,029.00","10,078.00",0.00,1.00,"10,079.00",0.73,0.62,-,1.00,"6,280.00",0.00,0.00,"6,280.00","2,408.00","8,688.00","2,449.00",649.00
,QMJ,NHS North Central London Integrated Care Board,"49,061.00","6,092.00","15,591.00","70,744.00","30,783.00","6,000.00","14,660.00","51,443.00","18,278.00",92.00,931.00,"19,301.00",0.73,0.63,0.98,0.94,"8,059.00",2.00,170.00,"8,231.00","1,158.00","9,389.00","4,027.00","2,033.00"
,QRV,NHS North West London Integrated Care Board,"52,206.00","3,680.00","50,281.00","106,167.00","29,172.00","3,630.00","48,816.00","81,618.00","23,034.00",50.00,"1,465.00","24,549.00",0.77,0.56,0.99,0.97,"15,163.00",0.00,0.00,"15,163.00","2,370.00","17,533.00","4,104.00",935.00
,QPM,NHS Northamptonshire Integrated Care Board,"21,515.00",559.00,"11,723.00","33,797.00","12,244.00",548.00,"11,210.00","24,002.00","9,271.00",11.00,513.00,"9,795.00",0.71,0.57,0.98,0.96,"4,182.00",0.00,0.00,"4,182.00","1,173.00","5,355.00","2,864.00",825.00
,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"27,267.00","1,715.00","11,911.00","40,893.00","13,496.00","1,437.00","11,095.00","26,028.00","13,771.00",278.00,816.00,"14,865.00",0.64,0.49,0.84,0.93,"8,385.00",0.00,1.00,"8,386.00","4,765.00","13,151.00","1,744.00",549.00
,QKK,NHS South East London Integrated Care Board,"40,961.00",777.00,"36,226.00","77,964.00","21,969.00",748.00,"33,904.00","56,621.00","18,992.00",29.00,"2,322.00","21,343.00",0.73,0.54,0.96,0.94,"10,834.00",0.00,0.00,"10,834.00","1,907.00","12,741.00","4,618.00","1,646.00"
,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,500.00",0.00,"5,271.00","15,771.00","4,384.00",0.00,"5,016.00","9,400.00","6,116.00",0.00,255.00,"6,371.00",0.60,0.42,-,0.95,"3,301.00",0.00,189.00,"3,490.00","2,080.00","5,570.00","1,920.00","1,562.00"
,QSL,NHS Somerset Integrated Care Board,"12,368.00",0.00,"8,991.00","21,359.00","6,442.00",0.00,"8,843.00","15,285.00","5,926.00",0.00,148.00,"6,074.00",0.72,0.52,-,0.98,"3,201.00",0.00,0.00,"3,201.00","1,790.00","4,991.00",734.00,114.00
,QWE,NHS South West London Integrated Care Board,"42,354.00",314.00,"18,269.00","60,937.00","26,589.00",314.00,"17,808.00","44,711.00","15,765.00",0.00,461.00,"16,226.00",0.73,0.63,1.00,0.97,"8,561.00",2.00,194.00,"8,757.00","1,341.00","10,098.00","3,968.00","2,295.00"
,QF7,NHS South Yorkshire Integrated Care Board,"46,507.00","1,140.00","13,210.00","60,857.00","28,609.00","1,140.00","12,951.00","42,700.00","17,898.00",0.00,259.00,"18,157.00",0.70,0.62,1.00,0.98,"14,110.00",0.00,484.00,"14,594.00","5,245.00","19,839.00","3,710.00",185.00
,QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,230.00",450.00,"8,471.00","23,151.00","6,352.00",450.00,"8,190.00","14,992.00","7,878.00",0.00,281.00,"8,159.00",0.65,0.45,1.00,0.97,"5,264.00",0.00,0.00,"5,264.00","3,097.00","8,361.00","1,958.00","1,077.00"
,QJG,NHS Suffolk And North East Essex Integrated Care Board,"21,250.00",0.00,"15,923.00","37,173.00","11,152.00",0.00,"15,472.00","26,624.00","10,098.00",0.00,451.00,"10,549.00",0.72,0.52,-,0.97,"8,459.00",0.00,350.00,"8,809.00","1,341.00","10,150.00","2,533.00",964.00
,QXU,NHS Surrey Heartlands Integrated Care Board,"29,512.00",0.00,"6,074.00","35,586.00","19,425.00",0.00,"6,032.00","25,457.00","10,087.00",0.00,42.00,"10,129.00",0.72,0.66,-,0.99,"8,526.00",0.00,0.00,"8,526.00","2,521.00","11,047.00","2,261.00",881.00
,QNX,NHS Sussex Integrated Care Board,"34,319.00","1,372.00","28,089.00","63,780.00","19,731.00","1,320.00","27,309.00","48,360.00","14,588.00",52.00,780.00,"15,420.00",0.76,0.57,0.96,0.97,"11,854.00",30.00,51.00,"11,935.00","2,282.00","14,217.00","1,964.00",950.00
,QUA,NHS Black Country Integrated Care Board,"45,150.00","1,139.00","32,405.00","78,694.00","29,001.00",908.00,"30,973.00","60,882.00","16,149.00",231.00,"1,432.00","17,812.00",0.77,0.64,0.80,0.96,"16,342.00",0.00,0.00,"16,342.00","4,739.00","21,081.00","6,159.00",983.00
,QWO,NHS West Yorkshire Integrated Care Board,"65,992.00","1,873.00","23,748.00","91,613.00","40,326.00","1,873.00","23,085.00","65,284.00","25,666.00",0.00,663.00,"26,329.00",0.71,0.61,1.00,0.97,"14,529.00",0.00,210.00,"14,739.00","4,511.00","19,250.00","7,937.00","1,406.00"
