,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,QE1,NHS Lancashire And South Cumbria Integrated Care Board,"41,562.00",0.00,"30,893.00","72,455.00","26,403.00",0.00,"29,990.00","56,393.00","15,159.00",0.00,903.00,"16,062.00",0.78,0.64,-,0.97,"11,864.00",0.00,255.00,"12,119.00","5,311.00","17,430.00","4,828.00","2,443.00"
,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"19,199.00","1,329.00","5,760.00","26,288.00","10,212.00","1,329.00","5,718.00","17,259.00","8,987.00",0.00,42.00,"9,029.00",0.66,0.53,1.00,0.99,"5,803.00",0.00,0.00,"5,803.00","2,130.00","7,933.00","1,748.00",541.00
,QM7,NHS Hertfordshire And West Essex Integrated Care Board,"24,296.00",0.00,"21,133.00","45,429.00","12,680.00",0.00,"20,708.00","33,388.00","11,616.00",0.00,425.00,"12,041.00",0.73,0.52,-,0.98,"9,206.00",0.00,67.00,"9,273.00","1,214.00","10,487.00","1,824.00",225.00
,QOQ,NHS Humber And North Yorkshire Integrated Care Board,"40,066.00",389.00,"23,864.00","64,319.00","23,119.00",389.00,"21,920.00","45,428.00","16,947.00",0.00,"1,944.00","18,891.00",0.71,0.58,1.00,0.92,"13,999.00",2.00,0.00,"14,001.00","4,280.00","18,281.00","4,910.00","2,061.00"
,QJ2,NHS Derby And Derbyshire Integrated Care Board,"28,244.00",0.00,"21,420.00","49,664.00","16,731.00",0.00,"21,150.00","37,881.00","11,513.00",0.00,270.00,"11,783.00",0.76,0.59,-,0.99,"6,730.00",0.00,248.00,"6,978.00","3,006.00","9,984.00","2,628.00",896.00
,QKS,NHS Kent And Medway Integrated Care Board,"50,709.00",0.00,"39,906.00","90,615.00","34,955.00",0.00,"38,992.00","73,947.00","15,754.00",0.00,914.00,"16,668.00",0.82,0.69,-,0.98,"13,951.00",0.00,510.00,"14,461.00","3,677.00","18,138.00","4,603.00","1,857.00"
,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,378.00","1,812.00","12,968.00","36,158.00","12,528.00","1,734.00","12,948.00","27,210.00","8,850.00",78.00,20.00,"8,948.00",0.75,0.59,0.96,1.00,"6,179.00",3.00,0.00,"6,182.00","3,480.00","9,662.00","2,397.00",839.00
,QJM,NHS Lincolnshire Integrated Care Board,"9,610.00",0.00,"19,509.00","29,119.00","3,438.00",0.00,"18,215.00","21,653.00","6,172.00",0.00,"1,294.00","7,466.00",0.74,0.36,-,0.93,"4,148.00",0.00,0.00,"4,148.00","1,206.00","5,354.00","1,783.00",693.00
,QH8,NHS Mid And South Essex Integrated Care Board,"29,348.00",0.00,"6,120.00","35,468.00","21,315.00",0.00,"5,962.00","27,277.00","8,033.00",0.00,158.00,"8,191.00",0.77,0.73,-,0.97,"8,966.00",0.00,231.00,"9,197.00","1,276.00","10,473.00","2,661.00",5.00
,QMM,NHS Norfolk And Waveney Integrated Care Board,"24,953.00",0.00,"11,391.00","36,344.00","16,656.00",0.00,"11,389.00","28,045.00","8,297.00",0.00,2.00,"8,299.00",0.77,0.67,-,1.00,"6,439.00",0.00,0.00,"6,439.00","2,758.00","9,197.00","2,233.00",613.00
,QMJ,NHS North Central London Integrated Care Board,"47,823.00","6,567.00","15,668.00","70,058.00","29,007.00","6,456.00","14,593.00","50,056.00","18,816.00",111.00,"1,075.00","20,002.00",0.71,0.61,0.98,0.93,"7,710.00",6.00,0.00,"7,716.00","1,238.00","8,954.00","4,111.00","2,311.00"
,QRV,NHS North West London Integrated Care Board,"49,566.00","3,944.00","46,273.00","99,783.00","31,344.00","3,911.00","45,275.00","80,530.00","18,222.00",33.00,998.00,"19,253.00",0.81,0.63,0.99,0.98,"15,909.00",0.00,0.00,"15,909.00","2,108.00","18,017.00","3,429.00",880.00
,QPM,NHS Northamptonshire Integrated Care Board,"21,006.00",594.00,"11,224.00","32,824.00","14,149.00",577.00,"11,057.00","25,783.00","6,857.00",17.00,167.00,"7,041.00",0.79,0.67,0.97,0.99,"3,881.00",0.00,0.00,"3,881.00","1,356.00","5,237.00","2,616.00",907.00
,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"26,018.00","2,022.00","11,293.00","39,333.00","14,758.00","1,903.00","10,864.00","27,525.00","11,260.00",119.00,429.00,"11,808.00",0.70,0.57,0.94,0.96,"7,263.00",0.00,1.00,"7,264.00","4,271.00","11,535.00","1,929.00",659.00
,QKK,NHS South East London Integrated Care Board,"38,721.00",767.00,"39,570.00","79,058.00","20,363.00",767.00,"36,682.00","57,812.00","18,358.00",0.00,"2,888.00","21,246.00",0.73,0.53,1.00,0.93,"9,321.00",0.00,0.00,"9,321.00","2,099.00","11,420.00","4,389.00","1,710.00"
,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,713.00",0.00,"5,605.00","16,318.00","4,549.00",0.00,"5,273.00","9,822.00","6,164.00",0.00,332.00,"6,496.00",0.60,0.42,-,0.94,"3,008.00",0.00,45.00,"3,053.00","2,112.00","5,165.00","1,031.00",579.00
,QSL,NHS Somerset Integrated Care Board,"12,901.00",0.00,"9,796.00","22,697.00","8,092.00",0.00,"9,685.00","17,777.00","4,809.00",0.00,111.00,"4,920.00",0.78,0.63,-,0.99,"3,336.00",0.00,0.00,"3,336.00","2,148.00","5,484.00",453.00,20.00
,QWE,NHS South West London Integrated Care Board,"40,498.00",324.00,"17,756.00","58,578.00","27,436.00",324.00,"17,469.00","45,229.00","13,062.00",0.00,287.00,"13,349.00",0.77,0.68,1.00,0.98,"7,793.00",3.00,148.00,"7,944.00","1,714.00","9,658.00","3,834.00","2,445.00"
,QF7,NHS South Yorkshire Integrated Care Board,"43,580.00","1,138.00","12,162.00","56,880.00","29,021.00","1,138.00","11,968.00","42,127.00","14,559.00",0.00,194.00,"14,753.00",0.74,0.67,1.00,0.98,"14,450.00",0.00,419.00,"14,869.00","4,982.00","19,851.00","3,252.00",175.00
,QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"13,973.00",490.00,"9,029.00","23,492.00","7,162.00",490.00,"8,946.00","16,598.00","6,811.00",0.00,83.00,"6,894.00",0.71,0.51,1.00,0.99,"5,823.00",0.00,0.00,"5,823.00","3,002.00","8,825.00","1,987.00",927.00
,QJG,NHS Suffolk And North East Essex Integrated Care Board,"22,395.00",0.00,"13,424.00","35,819.00","13,827.00",0.00,"13,252.00","27,079.00","8,568.00",0.00,172.00,"8,740.00",0.76,0.62,-,0.99,"8,056.00",0.00,331.00,"8,387.00","1,578.00","9,965.00","2,502.00",884.00
,QXU,NHS Surrey Heartlands Integrated Care Board,"27,326.00",0.00,"6,295.00","33,621.00","18,662.00",0.00,"6,155.00","24,817.00","8,664.00",0.00,140.00,"8,804.00",0.74,0.68,-,0.98,"8,725.00",0.00,0.00,"8,725.00","2,394.00","11,119.00","2,258.00",652.00
,QNX,NHS Sussex Integrated Care Board,"33,310.00","1,559.00","28,672.00","63,541.00","20,004.00","1,511.00","27,741.00","49,256.00","13,306.00",48.00,931.00,"14,285.00",0.78,0.60,0.97,0.97,"11,285.00",24.00,33.00,"11,342.00","2,513.00","13,855.00","3,176.00","1,394.00"
,QUA,NHS Black Country Integrated Care Board,"46,850.00","1,125.00","30,686.00","78,661.00","30,354.00","1,002.00","29,809.00","61,165.00","16,496.00",123.00,877.00,"17,496.00",0.78,0.65,0.89,0.97,"15,472.00",0.00,0.00,"15,472.00","3,996.00","19,468.00","6,397.00",779.00
,QWO,NHS West Yorkshire Integrated Care Board,"64,994.00","2,082.00","22,372.00","89,448.00","43,010.00","2,082.00","21,806.00","66,898.00","21,984.00",0.00,566.00,"22,550.00",0.75,0.66,1.00,0.97,"14,013.00",0.00,215.00,"14,228.00","4,494.00","18,722.00","6,974.00",532.00
