,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"19,433.00","1,252.00","6,478.00","27,163.00","10,514.00","1,252.00","6,469.00","18,235.00","8,919.00",0.00,9.00,"8,928.00",0.67,0.54,1.00,1.00,"5,361.00",0.00,0.00,"5,361.00","1,948.00","7,309.00","1,847.00",601.00
,QM7,NHS Hertfordshire And West Essex Integrated Care Board,"26,058.00",0.00,"22,148.00","48,206.00","14,485.00",0.00,"21,606.00","36,091.00","11,573.00",0.00,542.00,"12,115.00",0.75,0.56,-,0.98,"9,512.00",0.00,102.00,"9,614.00","1,437.00","11,051.00","1,454.00",149.00
,QOQ,NHS Humber And North Yorkshire Integrated Care Board,"34,827.00",399.00,"30,607.00","65,833.00","17,702.00",399.00,"29,002.00","47,103.00","17,125.00",0.00,"1,605.00","18,730.00",0.72,0.51,1.00,0.95,"14,330.00",0.00,0.00,"14,330.00","4,315.00","18,645.00","4,602.00","1,789.00"
,QJ2,NHS Derby And Derbyshire Integrated Care Board,"29,401.00",0.00,"21,296.00","50,697.00","16,859.00",0.00,"21,040.00","37,899.00","12,542.00",0.00,256.00,"12,798.00",0.75,0.57,-,0.99,"6,986.00",0.00,310.00,"7,296.00","3,248.00","10,544.00","2,816.00","1,105.00"
,QKS,NHS Kent And Medway Integrated Care Board,"52,986.00",0.00,"42,148.00","95,134.00","36,627.00",0.00,"41,038.00","77,665.00","16,359.00",0.00,"1,110.00","17,469.00",0.82,0.69,-,0.97,"12,932.00",0.00,605.00,"13,537.00","2,443.00","15,980.00","4,839.00","1,930.00"
,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,025.00","2,004.00","12,957.00","35,986.00","12,373.00","1,900.00","12,950.00","27,223.00","8,652.00",104.00,7.00,"8,763.00",0.76,0.59,0.95,1.00,"6,068.00",3.00,0.00,"6,071.00","3,438.00","9,509.00","2,551.00",895.00
,QJM,NHS Lincolnshire Integrated Care Board,"10,123.00",0.00,"19,781.00","29,904.00","3,179.00",0.00,"18,384.00","21,563.00","6,944.00",0.00,"1,397.00","8,341.00",0.72,0.31,-,0.93,"4,191.00",0.00,0.00,"4,191.00","1,291.00","5,482.00","2,004.00",993.00
,QH8,NHS Mid And South Essex Integrated Care Board,"30,733.00",0.00,"5,854.00","36,587.00","20,954.00",0.00,"5,617.00","26,571.00","9,779.00",0.00,237.00,"10,016.00",0.73,0.68,-,0.96,"8,977.00",0.00,244.00,"9,221.00","1,305.00","10,526.00","3,062.00",36.00
,QMM,NHS Norfolk And Waveney Integrated Care Board,"27,046.00",0.00,"11,261.00","38,307.00","18,147.00",0.00,"11,254.00","29,401.00","8,899.00",0.00,7.00,"8,906.00",0.77,0.67,-,1.00,"6,278.00",0.00,0.00,"6,278.00","2,331.00","8,609.00","2,104.00",497.00
,QMJ,NHS North Central London Integrated Care Board,"49,172.00","6,666.00","16,058.00","71,896.00","31,769.00","6,488.00","15,154.00","53,411.00","17,403.00",178.00,904.00,"18,485.00",0.74,0.65,0.97,0.94,"8,107.00",6.00,0.00,"8,113.00","1,267.00","9,380.00","3,582.00","1,727.00"
,QRV,NHS North West London Integrated Care Board,"51,887.00","3,868.00","49,606.00","105,361.00","32,286.00","3,835.00","48,526.00","84,647.00","19,601.00",33.00,"1,080.00","20,714.00",0.80,0.62,0.99,0.98,"16,699.00",0.00,0.00,"16,699.00","2,153.00","18,852.00","2,579.00",504.00
,QPM,NHS Northamptonshire Integrated Care Board,"22,170.00",594.00,"11,069.00","33,833.00","15,119.00",580.00,"10,980.00","26,679.00","7,051.00",14.00,89.00,"7,154.00",0.79,0.68,0.98,0.99,"4,184.00",0.00,0.00,"4,184.00","1,516.00","5,700.00","2,669.00",702.00
,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"27,925.00","2,095.00","11,717.00","41,737.00","15,885.00","2,008.00","11,324.00","29,217.00","12,040.00",87.00,393.00,"12,520.00",0.70,0.57,0.96,0.97,"7,999.00",0.00,0.00,"7,999.00","4,362.00","12,361.00","1,898.00",477.00
,QKK,NHS South East London Integrated Care Board,"41,030.00",809.00,"39,786.00","81,625.00","23,196.00",809.00,"37,387.00","61,392.00","17,834.00",0.00,"2,399.00","20,233.00",0.75,0.57,1.00,0.94,"9,031.00",0.00,0.00,"9,031.00","2,147.00","11,178.00","3,826.00","1,219.00"
,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,516.00",0.00,"5,962.00","16,478.00","4,842.00",0.00,"5,803.00","10,645.00","5,674.00",0.00,159.00,"5,833.00",0.65,0.46,-,0.97,"3,202.00",0.00,143.00,"3,345.00","2,120.00","5,465.00","1,129.00",560.00
,QSL,NHS Somerset Integrated Care Board,"13,431.00",0.00,"10,214.00","23,645.00","7,983.00",0.00,"10,044.00","18,027.00","5,448.00",0.00,170.00,"5,618.00",0.76,0.59,-,0.98,"3,370.00",0.00,0.00,"3,370.00","2,047.00","5,417.00",365.00,8.00
,QWE,NHS South West London Integrated Care Board,"41,585.00",338.00,"18,025.00","59,948.00","28,205.00",338.00,"17,670.00","46,213.00","13,380.00",0.00,355.00,"13,735.00",0.77,0.68,1.00,0.98,"8,081.00",4.00,160.00,"8,245.00","1,806.00","10,051.00","3,670.00","1,971.00"
,QF7,NHS South Yorkshire Integrated Care Board,"46,070.00","1,227.00","12,553.00","59,850.00","30,115.00","1,227.00","12,422.00","43,764.00","15,955.00",0.00,131.00,"16,086.00",0.73,0.65,1.00,0.99,"14,482.00",0.00,392.00,"14,874.00","5,413.00","20,287.00","2,996.00",253.00
,QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,102.00",508.00,"9,051.00","23,661.00","7,397.00",508.00,"8,935.00","16,840.00","6,705.00",0.00,116.00,"6,821.00",0.71,0.52,1.00,0.99,"5,207.00",0.00,0.00,"5,207.00","3,395.00","8,602.00","1,877.00",903.00
,QJG,NHS Suffolk And North East Essex Integrated Care Board,"23,693.00",0.00,"13,005.00","36,698.00","14,151.00",0.00,"12,837.00","26,988.00","9,542.00",0.00,168.00,"9,710.00",0.74,0.60,-,0.99,"8,354.00",0.00,387.00,"8,741.00","1,717.00","10,458.00","2,113.00",549.00
,QXU,NHS Surrey Heartlands Integrated Care Board,"27,815.00",0.00,"6,367.00","34,182.00","20,430.00",0.00,"6,288.00","26,718.00","7,385.00",0.00,79.00,"7,464.00",0.78,0.73,-,0.99,"8,597.00",0.00,0.00,"8,597.00","2,580.00","11,177.00","1,912.00",560.00
,QNX,NHS Sussex Integrated Care Board,"34,714.00","1,526.00","30,005.00","66,245.00","21,665.00","1,508.00","29,206.00","52,379.00","13,049.00",18.00,799.00,"13,866.00",0.79,0.62,0.99,0.97,"11,509.00",38.00,30.00,"11,577.00","2,686.00","14,263.00","3,238.00","1,298.00"
,QUA,NHS Black Country Integrated Care Board,"47,388.00","1,101.00","29,191.00","77,680.00","30,875.00",962.00,"28,667.00","60,504.00","16,513.00",139.00,524.00,"17,176.00",0.78,0.65,0.87,0.98,"16,312.00",0.00,0.00,"16,312.00","4,272.00","20,584.00","6,673.00","1,191.00"
,QWO,NHS West Yorkshire Integrated Care Board,"65,918.00","2,260.00","23,669.00","91,847.00","42,908.00","2,260.00","23,052.00","68,220.00","23,010.00",0.00,617.00,"23,627.00",0.74,0.65,1.00,0.97,"14,205.00",0.00,231.00,"14,436.00","4,770.00","19,206.00","6,873.00",880.00
