,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,QHM,NHS North East And North Cumbria Integrated Care Board,"71,242.00","2,814.00","59,931.00","133,987.00","38,518.00","2,631.00","59,188.00","100,337.00","32,724.00",183.00,743.00,"33,650.00",0.75,0.54,0.93,0.99,"24,851.00",39.00,666.00,"25,556.00","11,016.00","36,572.00","8,068.00",926.00
,QJK,NHS Devon Integrated Care Board,"27,373.00",160.00,"13,947.00","41,480.00","14,275.00",159.00,"13,799.00","28,233.00","13,098.00",1.00,148.00,"13,247.00",0.68,0.52,0.99,0.99,"8,586.00",0.00,0.00,"8,586.00","4,634.00","13,220.00","3,688.00","1,191.00"
,QVV,NHS Dorset Integrated Care Board,"16,484.00",0.00,"8,543.00","25,027.00","9,503.00",0.00,"8,539.00","18,042.00","6,981.00",0.00,4.00,"6,985.00",0.72,0.58,-,1.00,"5,779.00",0.00,2.00,"5,781.00","3,073.00","8,854.00","1,845.00",577.00
,QMF,NHS North East London Integrated Care Board,"49,787.00","3,441.00","39,313.00","92,541.00","29,843.00","3,067.00","37,572.00","70,482.00","19,944.00",374.00,"1,741.00","22,059.00",0.76,0.60,0.89,0.96,"14,644.00",2.00,32.00,"14,678.00","2,042.00","16,720.00","4,481.00","2,407.00"
,QNQ,NHS Frimley Integrated Care Board,"22,829.00",927.00,"12,305.00","36,061.00","14,101.00",923.00,"12,081.00","27,105.00","8,728.00",4.00,224.00,"8,956.00",0.75,0.62,1.00,0.98,"6,324.00",0.00,0.00,"6,324.00",102.00,"6,426.00","2,378.00",633.00
,QR1,NHS Gloucestershire Integrated Care Board,"12,378.00",0.00,"7,767.00","20,145.00","7,778.00",0.00,"7,725.00","15,503.00","4,600.00",0.00,42.00,"4,642.00",0.77,0.63,-,0.99,"2,635.00",0.00,0.00,"2,635.00","2,429.00","5,064.00",961.00,569.00
,QOP,NHS Greater Manchester Integrated Care Board,"84,209.00","3,459.00","33,537.00","121,205.00","44,702.00","3,312.00","32,079.00","80,093.00","39,507.00",147.00,"1,458.00","41,112.00",0.66,0.53,0.96,0.96,"21,537.00",121.00,662.00,"22,320.00","6,510.00","28,830.00","12,946.00","4,608.00"
,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"38,040.00","2,469.00","23,482.00","63,991.00","21,384.00","2,373.00","22,834.00","46,591.00","16,656.00",96.00,648.00,"17,400.00",0.73,0.56,0.96,0.97,"12,810.00",22.00,39.00,"12,871.00","5,948.00","18,819.00","3,331.00",727.00
,QE1,NHS Lancashire And South Cumbria Integrated Care Board,"41,352.00",0.00,"29,760.00","71,112.00","24,263.00",0.00,"28,686.00","52,949.00","17,089.00",0.00,"1,074.00","18,163.00",0.74,0.59,-,0.96,"12,870.00",0.00,224.00,"13,094.00","5,718.00","18,812.00","5,563.00","3,155.00"
,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"18,011.00","1,141.00","5,212.00","24,364.00","8,351.00","1,141.00","5,175.00","14,667.00","9,660.00",0.00,37.00,"9,697.00",0.60,0.46,1.00,0.99,"4,174.00",0.00,0.00,"4,174.00",993.00,"5,167.00","2,444.00","1,036.00"
,QM7,NHS Hertfordshire And West Essex Integrated Care Board,"24,805.00",0.00,"20,405.00","45,210.00","12,471.00",0.00,"20,192.00","32,663.00","12,334.00",0.00,213.00,"12,547.00",0.72,0.50,-,0.99,"8,860.00",0.00,2.00,"8,862.00","1,003.00","9,865.00","2,305.00",558.00
,QOQ,NHS Humber And North Yorkshire Integrated Care Board,"32,585.00",388.00,"28,136.00","61,109.00","15,383.00",388.00,"26,944.00","42,715.00","17,202.00",0.00,"1,192.00","18,394.00",0.70,0.47,1.00,0.96,"14,671.00",0.00,0.00,"14,671.00","4,837.00","19,508.00","5,584.00","2,671.00"
,QJ2,NHS Derby And Derbyshire Integrated Care Board,"26,269.00",0.00,"24,876.00","51,145.00","13,561.00",0.00,"24,460.00","38,021.00","12,708.00",0.00,416.00,"13,124.00",0.74,0.52,-,0.98,"6,674.00",0.00,314.00,"6,988.00","2,651.00","9,639.00","3,588.00","1,420.00"
,QKS,NHS Kent And Medway Integrated Care Board,"51,352.00",0.00,"40,879.00","92,231.00","34,169.00",0.00,"39,762.00","73,931.00","17,183.00",0.00,"1,117.00","18,300.00",0.80,0.67,-,0.97,"13,434.00",0.00,562.00,"13,996.00","2,455.00","16,451.00","5,288.00","2,859.00"
,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","21,070.00","1,977.00","16,365.00","39,412.00","11,949.00","1,875.00","16,319.00","30,143.00","9,121.00",102.00,46.00,"9,269.00",0.76,0.57,0.95,1.00,"6,395.00",5.00,0.00,"6,400.00","3,749.00","10,149.00","2,691.00","1,178.00"
,QJM,NHS Lincolnshire Integrated Care Board,"15,569.00",0.00,"11,769.00","27,338.00","9,285.00",0.00,"10,782.00","20,067.00","6,284.00",0.00,987.00,"7,271.00",0.73,0.60,-,0.92,"4,703.00",0.00,0.00,"4,703.00","1,153.00","5,856.00","2,194.00","1,317.00"
,QH8,NHS Mid And South Essex Integrated Care Board,"28,976.00",0.00,"3,905.00","32,881.00","17,906.00",0.00,"3,658.00","21,564.00","11,070.00",0.00,247.00,"11,317.00",0.66,0.62,-,0.94,"8,794.00",0.00,198.00,"8,992.00","1,398.00","10,390.00","3,698.00",451.00
,QMM,NHS Norfolk And Waveney Integrated Care Board,"24,923.00",0.00,"11,052.00","35,975.00","14,765.00",0.00,"11,046.00","25,811.00","10,158.00",0.00,6.00,"10,164.00",0.72,0.59,-,1.00,"6,209.00",0.00,0.00,"6,209.00","2,491.00","8,700.00","2,865.00",957.00
,QMJ,NHS North Central London Integrated Care Board,"47,222.00","6,250.00","15,445.00","68,917.00","30,915.00","6,128.00","14,501.00","51,544.00","16,307.00",122.00,944.00,"17,373.00",0.75,0.65,0.98,0.94,"7,445.00",1.00,55.00,"7,501.00","1,314.00","8,815.00","4,392.00","2,649.00"
,QRV,NHS North West London Integrated Care Board,"52,128.00","3,650.00","48,552.00","104,330.00","29,177.00","3,629.00","47,453.00","80,259.00","22,951.00",21.00,"1,099.00","24,071.00",0.77,0.56,0.99,0.98,"14,903.00",1.00,0.00,"14,904.00","2,073.00","16,977.00","5,034.00","1,424.00"
,QPM,NHS Northamptonshire Integrated Care Board,"20,000.00",576.00,"10,905.00","31,481.00","12,314.00",562.00,"10,612.00","23,488.00","7,686.00",14.00,293.00,"7,993.00",0.75,0.62,0.98,0.97,"4,181.00",0.00,0.00,"4,181.00","1,233.00","5,414.00","2,782.00",938.00
,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"25,911.00","1,684.00","11,220.00","38,815.00","12,923.00","1,614.00","10,121.00","24,658.00","12,988.00",70.00,"1,099.00","14,157.00",0.64,0.50,0.96,0.90,"8,353.00",0.00,0.00,"8,353.00","4,745.00","13,098.00","2,503.00",968.00
,QKK,NHS South East London Integrated Care Board,"38,965.00",724.00,"39,480.00","79,169.00","20,433.00",704.00,"37,442.00","58,579.00","18,532.00",20.00,"2,038.00","20,590.00",0.74,0.52,0.97,0.95,"10,801.00",0.00,0.00,"10,801.00","2,062.00","12,863.00","4,929.00","2,184.00"
,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","9,443.00",0.00,"5,259.00","14,702.00","4,010.00",0.00,"5,054.00","9,064.00","5,433.00",0.00,205.00,"5,638.00",0.62,0.42,-,0.96,"3,068.00",0.00,178.00,"3,246.00","2,244.00","5,490.00","1,665.00","1,316.00"
,QSL,NHS Somerset Integrated Care Board,"11,562.00",0.00,"9,287.00","20,849.00","6,159.00",0.00,"9,154.00","15,313.00","5,403.00",0.00,133.00,"5,536.00",0.73,0.53,-,0.99,"2,994.00",0.00,0.00,"2,994.00","1,761.00","4,755.00","1,159.00",329.00
,QWE,NHS South West London Integrated Care Board,"40,587.00",351.00,"17,820.00","58,758.00","25,789.00",351.00,"17,507.00","43,647.00","14,798.00",0.00,313.00,"15,111.00",0.74,0.64,1.00,0.98,"8,149.00",5.00,177.00,"8,331.00","1,480.00","9,811.00","3,912.00","2,457.00"
,QF7,NHS South Yorkshire Integrated Care Board,"44,170.00","1,183.00","12,367.00","57,720.00","26,453.00","1,183.00","12,048.00","39,684.00","17,717.00",0.00,319.00,"18,036.00",0.69,0.60,1.00,0.97,"13,827.00",0.00,355.00,"14,182.00","4,987.00","19,169.00","4,820.00",386.00
,QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,091.00",490.00,"8,517.00","23,098.00","6,581.00",490.00,"8,261.00","15,332.00","7,510.00",0.00,256.00,"7,766.00",0.66,0.47,1.00,0.97,"5,493.00",0.00,0.00,"5,493.00","3,127.00","8,620.00","2,233.00","1,318.00"
,QJG,NHS Suffolk And North East Essex Integrated Care Board,"20,370.00",0.00,"15,246.00","35,616.00","11,180.00",0.00,"14,958.00","26,138.00","9,190.00",0.00,288.00,"9,478.00",0.73,0.55,-,0.98,"7,995.00",0.00,413.00,"8,408.00","1,397.00","9,805.00","3,047.00","1,592.00"
,QXU,NHS Surrey Heartlands Integrated Care Board,"26,911.00",0.00,"6,190.00","33,101.00","17,829.00",0.00,"6,051.00","23,880.00","9,082.00",0.00,139.00,"9,221.00",0.72,0.66,-,0.98,"8,201.00",0.00,0.00,"8,201.00","2,812.00","11,013.00","2,619.00","1,237.00"
,QNX,NHS Sussex Integrated Care Board,"36,753.00","1,364.00","23,414.00","61,531.00","22,309.00","1,301.00","23,083.00","46,693.00","14,444.00",63.00,331.00,"14,838.00",0.76,0.61,0.95,0.99,"11,730.00",30.00,53.00,"11,813.00","2,616.00","14,429.00","2,455.00","1,305.00"
,QUA,NHS Black Country Integrated Care Board,"41,210.00","1,103.00","29,286.00","71,599.00","26,254.00",920.00,"28,672.00","55,846.00","14,956.00",183.00,614.00,"15,753.00",0.78,0.64,0.83,0.98,"15,814.00",0.00,0.00,"15,814.00","4,836.00","20,650.00","6,115.00","1,462.00"
,QWO,NHS West Yorkshire Integrated Care Board,"61,739.00","2,076.00","21,822.00","85,637.00","38,422.00","2,076.00","21,449.00","61,947.00","23,317.00",0.00,373.00,"23,690.00",0.72,0.62,1.00,0.98,"14,190.00",0.00,183.00,"14,373.00","4,530.00","18,903.00","8,953.00","2,262.00"
