,,,A&E attendances,,,,"A&E attendances < 4 hours from arrival to admission, transfer or discharge",,,,"A&E attendances > 4 hours from arrival to admission, transfer or discharge",,,,Percentage of attendances within 4 hours,,,,Emergency Admissions,,,,,,,
,QMF,NHS North East London Integrated Care Board,"51,024.00","3,087.00","38,616.00","92,727.00","29,685.00","2,860.00","37,056.00","69,601.00","21,339.00",227.00,"1,560.00","23,126.00",0.75,0.58,0.93,0.96,"14,353.00",4.00,25.00,"14,382.00","1,961.00","16,343.00","4,338.00","2,180.00"
,QNQ,NHS Frimley Integrated Care Board,"23,744.00",760.00,"11,284.00","35,788.00","13,931.00",760.00,"10,936.00","25,627.00","9,813.00",0.00,348.00,"10,161.00",0.72,0.59,1.00,0.97,"6,492.00",0.00,0.00,"6,492.00",112.00,"6,604.00","1,890.00",328.00
,QR1,NHS Gloucestershire Integrated Care Board,"13,793.00",0.00,"8,124.00","21,917.00","8,433.00",0.00,"8,068.00","16,501.00","5,360.00",0.00,56.00,"5,416.00",0.75,0.61,-,0.99,"2,700.00",0.00,0.00,"2,700.00","2,189.00","4,889.00",980.00,536.00
,QOP,NHS Greater Manchester Integrated Care Board,"87,508.00","3,184.00","35,077.00","125,769.00","44,674.00","3,107.00","33,238.00","81,019.00","42,834.00",77.00,"1,839.00","44,750.00",0.64,0.51,0.98,0.95,"21,989.00",148.00,677.00,"22,814.00","5,925.00","28,739.00","12,246.00","4,105.00"
,QRL,NHS Hampshire And Isle Of Wight Integrated Care Board,"40,409.00","2,188.00","24,278.00","66,875.00","21,456.00","2,105.00","23,485.00","47,046.00","18,953.00",83.00,793.00,"19,829.00",0.70,0.53,0.96,0.97,"13,069.00",17.00,27.00,"13,113.00","5,549.00","18,662.00","2,820.00",333.00
,QE1,NHS Lancashire And South Cumbria Integrated Care Board,"44,195.00",0.00,"30,246.00","74,441.00","26,796.00",0.00,"29,033.00","55,829.00","17,399.00",0.00,"1,213.00","18,612.00",0.75,0.61,-,0.96,"13,386.00",0.00,180.00,"13,566.00","5,486.00","19,052.00","5,652.00","2,908.00"
,QGH,NHS Herefordshire And Worcestershire Integrated Care Board,"19,835.00",945.00,"4,980.00","25,760.00","8,531.00",945.00,"4,942.00","14,418.00","11,304.00",0.00,38.00,"11,342.00",0.56,0.43,1.00,0.99,"4,444.00",0.00,0.00,"4,444.00",955.00,"5,399.00","2,379.00",757.00
,QM7,NHS Hertfordshire And West Essex Integrated Care Board,"26,075.00",0.00,"21,531.00","47,606.00","12,041.00",0.00,"20,924.00","32,965.00","14,034.00",0.00,607.00,"14,641.00",0.69,0.46,-,0.97,"8,744.00",0.00,20.00,"8,764.00","1,098.00","9,862.00","2,630.00",557.00
,QOQ,NHS Humber And North Yorkshire Integrated Care Board,"35,157.00",325.00,"28,523.00","64,005.00","15,465.00",325.00,"27,171.00","42,961.00","19,692.00",0.00,"1,352.00","21,044.00",0.67,0.44,1.00,0.95,"14,771.00",0.00,0.00,"14,771.00","4,699.00","19,470.00","5,502.00","2,820.00"
,QJ2,NHS Derby And Derbyshire Integrated Care Board,"28,723.00",0.00,"27,396.00","56,119.00","14,753.00",0.00,"27,049.00","41,802.00","13,970.00",0.00,347.00,"14,317.00",0.74,0.51,-,0.99,"6,808.00",0.00,286.00,"7,094.00","2,541.00","9,635.00","3,608.00","1,514.00"
,QKS,NHS Kent And Medway Integrated Care Board,"54,547.00",0.00,"41,612.00","96,159.00","35,577.00",0.00,"40,314.00","75,891.00","18,970.00",0.00,"1,298.00","20,268.00",0.79,0.65,-,0.97,"13,850.00",0.00,537.00,"14,387.00","2,410.00","16,797.00","5,027.00","2,572.00"
,QK1,"NHS Leicester, Leicestershire And Rutland Integrated Care Board","22,293.00","1,856.00","15,619.00","39,768.00","12,605.00","1,695.00","15,578.00","29,878.00","9,688.00",161.00,41.00,"9,890.00",0.75,0.57,0.91,1.00,"6,629.00",0.00,0.00,"6,629.00","3,412.00","10,041.00","2,541.00",953.00
,QJM,NHS Lincolnshire Integrated Care Board,"11,294.00",0.00,"19,208.00","30,502.00","4,464.00",0.00,"17,320.00","21,784.00","6,830.00",0.00,"1,888.00","8,718.00",0.71,0.40,-,0.90,"4,770.00",0.00,0.00,"4,770.00","1,059.00","5,829.00","2,142.00","1,049.00"
,QH8,NHS Mid And South Essex Integrated Care Board,"31,220.00",0.00,"5,314.00","36,534.00","18,459.00",0.00,"5,029.00","23,488.00","12,761.00",0.00,285.00,"13,046.00",0.64,0.59,-,0.95,"8,935.00",0.00,195.00,"9,130.00","1,343.00","10,473.00","3,300.00",256.00
,QMM,NHS Norfolk And Waveney Integrated Care Board,"26,621.00",0.00,"11,511.00","38,132.00","15,755.00",0.00,"11,510.00","27,265.00","10,866.00",0.00,1.00,"10,867.00",0.72,0.59,-,1.00,"6,580.00",0.00,0.00,"6,580.00","2,272.00","8,852.00","2,817.00",929.00
,QMJ,NHS North Central London Integrated Care Board,"48,982.00","5,470.00","16,831.00","71,283.00","31,319.00","5,388.00","15,600.00","52,307.00","17,663.00",82.00,"1,231.00","18,976.00",0.73,0.64,0.99,0.93,"7,800.00",2.00,136.00,"7,938.00","1,124.00","9,062.00","4,294.00","2,352.00"
,QRV,NHS North West London Integrated Care Board,"53,523.00","3,351.00","50,140.00","107,014.00","29,385.00","3,350.00","48,383.00","81,118.00","24,138.00",1.00,"1,757.00","25,896.00",0.76,0.55,1.00,0.96,"14,822.00",0.00,0.00,"14,822.00","1,738.00","16,560.00","4,465.00","1,129.00"
,QPM,NHS Northamptonshire Integrated Care Board,"21,477.00",490.00,"12,681.00","34,648.00","12,567.00",484.00,"11,818.00","24,869.00","8,910.00",6.00,863.00,"9,779.00",0.72,0.59,0.99,0.93,"4,145.00",0.00,0.00,"4,145.00","1,195.00","5,340.00","2,828.00",874.00
,QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,"27,182.00","1,613.00","12,102.00","40,897.00","11,960.00","1,462.00","10,498.00","23,920.00","15,222.00",151.00,"1,604.00","16,977.00",0.58,0.44,0.91,0.87,"8,437.00",0.00,0.00,"8,437.00","4,605.00","13,042.00","2,067.00",872.00
,QKK,NHS South East London Integrated Care Board,"40,651.00",661.00,"40,923.00","82,235.00","21,092.00",623.00,"38,691.00","60,406.00","19,559.00",38.00,"2,232.00","21,829.00",0.73,0.52,0.94,0.95,"11,009.00",0.00,0.00,"11,009.00","1,808.00","12,817.00","4,969.00","1,790.00"
,QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board","10,473.00",0.00,"5,527.00","16,000.00","4,143.00",0.00,"5,241.00","9,384.00","6,330.00",0.00,286.00,"6,616.00",0.59,0.40,-,0.95,"3,246.00",0.00,201.00,"3,447.00","2,251.00","5,698.00","1,902.00","1,494.00"
,QSL,NHS Somerset Integrated Care Board,"12,984.00",0.00,"9,207.00","22,191.00","6,057.00",0.00,"8,965.00","15,022.00","6,927.00",0.00,242.00,"7,169.00",0.68,0.47,-,0.97,"3,339.00",0.00,0.00,"3,339.00","1,749.00","5,088.00","1,103.00",349.00
,QWE,NHS South West London Integrated Care Board,"42,975.00",282.00,"18,369.00","61,626.00","27,070.00",282.00,"18,012.00","45,364.00","15,905.00",0.00,357.00,"16,262.00",0.74,0.63,1.00,0.98,"8,409.00",1.00,178.00,"8,588.00","1,250.00","9,838.00","4,255.00","2,632.00"
,QF7,NHS South Yorkshire Integrated Care Board,"46,818.00","1,010.00","13,893.00","61,721.00","27,911.00","1,009.00","13,374.00","42,294.00","18,907.00",1.00,519.00,"19,427.00",0.69,0.60,1.00,0.96,"14,506.00",0.00,506.00,"15,012.00","5,177.00","20,189.00","4,656.00",381.00
,QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,"14,390.00",452.00,"9,017.00","23,859.00","5,866.00",452.00,"8,638.00","14,956.00","8,524.00",0.00,379.00,"8,903.00",0.63,0.41,1.00,0.96,"5,401.00",0.00,0.00,"5,401.00","3,111.00","8,512.00","2,199.00","1,235.00"
,QJG,NHS Suffolk And North East Essex Integrated Care Board,"22,287.00",0.00,"17,086.00","39,373.00","11,327.00",0.00,"16,715.00","28,042.00","10,960.00",0.00,371.00,"11,331.00",0.71,0.51,-,0.98,"8,619.00",0.00,468.00,"9,087.00","1,378.00","10,465.00","3,227.00","1,547.00"
,QXU,NHS Surrey Heartlands Integrated Care Board,"29,691.00",0.00,"6,219.00","35,910.00","18,070.00",0.00,"6,004.00","24,074.00","11,621.00",0.00,215.00,"11,836.00",0.67,0.61,-,0.97,"8,416.00",0.00,0.00,"8,416.00","2,450.00","10,866.00","2,514.00",865.00
,QNX,NHS Sussex Integrated Care Board,"35,740.00","1,245.00","26,792.00","63,777.00","20,300.00","1,219.00","26,059.00","47,578.00","15,440.00",26.00,733.00,"16,199.00",0.75,0.57,0.98,0.97,"11,636.00",21.00,43.00,"11,700.00","2,262.00","13,962.00","1,717.00",842.00
,QUA,NHS Black Country Integrated Care Board,"43,414.00",947.00,"34,176.00","78,537.00","27,159.00",787.00,"32,160.00","60,106.00","16,255.00",160.00,"2,016.00","18,431.00",0.77,0.63,0.83,0.94,"16,148.00",0.00,0.00,"16,148.00","4,509.00","20,657.00","6,169.00","1,370.00"
,QWO,NHS West Yorkshire Integrated Care Board,"67,056.00","1,840.00","24,416.00","93,312.00","40,617.00","1,840.00","23,647.00","66,104.00","26,439.00",0.00,769.00,"27,208.00",0.71,0.61,1.00,0.97,"15,074.00",0.00,202.00,"15,276.00","4,418.00","19,694.00","8,400.00","1,890.00"
